Date,Open,High,Low,Close,Adj Close,Volume
2009-04-16,768.0,774.875,760.0,773.75,596.5789794921875,2504
2009-04-17,785.75,811.5,783.625,802.875,619.0350341796875,4688
2009-04-20,779.5,779.5,756.75,760.0,585.9774169921875,2224
2009-04-21,747.5,781.875,732.5,781.0,602.1689453125,1816
2009-04-22,779.25,815.875,779.25,807.375,622.5048217773438,2496
2009-04-23,813.125,818.0,798.25,801.875,618.263916015625,3448
2009-04-24,825.0,844.75,821.875,835.5,644.1896362304688,5248
2009-04-27,821.25,847.875,814.875,818.5,631.0824584960938,2808
2009-04-28,817.125,875.625,813.0,868.0,669.2479858398438,1648
2009-04-29,864.25,940.0,841.875,892.25,687.9453125,4000
2009-04-30,916.75,924.625,899.375,906.625,699.0286865234375,4896
2009-05-01,932.25,944.25,924.875,927.5,715.1239013671875,1528
2009-05-04,920.875,937.5,901.875,912.625,703.65478515625,5808
2009-05-05,912.625,930.5,900.0,916.75,706.8353271484375,5856
2009-05-06,923.625,933.75,902.5,926.25,714.1600952148438,6864
2009-05-07,938.75,1027.75,938.75,1014.0,781.8172607421875,4152
2009-05-08,1006.875,1016.125,988.375,1006.25,775.8419799804688,3280
2009-05-11,993.75,993.75,952.75,952.75,734.5921630859375,3248
2009-05-12,963.375,973.625,933.625,945.0,728.61669921875,2440
2009-05-13,921.25,921.25,900.0,911.125,702.498291015625,9920
2009-05-14,919.25,922.625,893.75,897.25,691.8004150390625,4184
2009-05-15,905.75,917.875,901.0,907.625,699.7996215820312,3296
2009-05-18,910.0,956.875,906.125,956.875,737.7726440429688,3848
2009-05-19,964.875,976.75,952.75,962.625,742.2059936523438,3640
2009-05-20,966.875,978.5,932.375,937.0,722.448486328125,5368
2009-05-21,924.5,1037.5,915.0,1017.125,784.2267456054688,3496
2009-05-22,1044.125,1056.5,1012.5,1054.625,813.14013671875,4048
2009-05-26,1028.125,1108.25,1026.125,1108.25,854.4862670898438,6480
2009-05-27,1091.75,1178.25,1089.125,1175.0,905.9520263671876,7696
2009-05-28,1109.5,1177.5,1100.25,1114.0,858.9197387695312,12184
2009-05-29,1117.5,1117.5,1007.5,1011.25,779.6969604492188,8952
2009-06-01,1073.0,1128.0,1070.5,1112.0,857.3776245117188,5672
2009-06-02,1094.625,1118.75,1075.75,1086.625,837.8128051757812,3688
2009-06-03,1078.5,1088.625,1052.0,1057.375,815.2603759765625,2928
2009-06-04,1093.125,1142.5,1086.625,1126.125,868.2682495117188,6648
2009-06-05,1160.75,1169.5,1111.625,1157.75,892.6519165039062,7400
2009-06-08,1095.25,1172.0,1095.25,1172.0,903.638916015625,3328
2009-06-09,1159.5,1182.5,1137.5,1161.125,895.2540283203125,3800
2009-06-10,1194.125,1296.125,1178.0,1230.0,948.3582763671876,12776
2009-06-11,1251.0,1258.25,1163.0,1179.75,909.6145629882812,13104
2009-06-12,1170.0,1172.625,1120.625,1150.125,886.7728881835938,6152
2009-06-15,1121.0,1129.5,1100.0,1114.0,858.9197387695312,4848
2009-06-16,1110.25,1116.625,1049.75,1049.75,809.3814086914062,6112
2009-06-17,1047.875,1074.0,1016.875,1070.75,825.5728759765625,6992
2009-06-18,1101.375,1140.625,1080.75,1114.875,859.5943603515625,7816
2009-06-19,1128.0,1133.25,1069.25,1069.25,824.416259765625,3616
2009-06-22,1044.75,1059.25,1021.75,1036.0,798.77978515625,3712
2009-06-23,1031.0,1056.25,989.25,996.75,768.51708984375,8672
2009-06-24,997.0,1036.875,981.875,1036.5,799.1654052734375,5432
2009-06-25,1014.0,1034.125,963.125,963.125,742.5914306640625,7712
2009-06-26,966.125,975.0,953.125,960.5,740.5675048828125,3656
2009-06-29,947.5,963.75,938.0,959.125,739.5073852539062,4072
2009-06-30,971.5,989.375,944.375,961.0,740.953125,4584
2009-07-01,991.25,998.75,965.875,971.5,749.048828125,4224
2009-07-02,962.125,970.0,954.25,965.75,744.6154174804688,2976
2009-07-06,975.875,993.75,969.125,972.5,749.8198852539062,3160
2009-07-07,986.25,987.5,949.5,950.625,732.95361328125,2848
2009-07-08,937.375,943.75,879.25,891.875,687.6561889648438,9992
2009-07-09,928.75,956.75,918.0,931.375,718.111572265625,6512
2009-07-10,918.625,925.25,894.25,897.875,692.2822875976562,4720
2009-07-13,899.25,919.5,887.5,916.25,706.4498291015625,4888
2009-07-14,942.375,976.75,930.875,966.625,745.2900390625,4992
2009-07-15,1013.625,1051.125,1001.875,1045.875,806.3936767578125,6792
2009-07-16,999.375,1009.0,986.25,1005.125,774.9744262695312,4640
2009-07-17,1031.25,1051.625,1018.25,1051.5,810.73046875,6304
2009-07-20,1066.5,1069.25,1007.5,1036.25,798.9725341796875,7896
2009-07-21,1046.625,1051.0,959.375,963.75,743.0733642578125,6624
2009-07-22,970.75,1008.375,970.75,995.625,767.64990234375,5024
2009-07-23,988.875,1070.75,988.5,1056.25,814.39306640625,7792
2009-07-24,1054.875,1061.125,1039.375,1040.875,802.5385131835938,2112
2009-07-27,1081.125,1097.0,1071.75,1079.625,832.4158325195312,4736
2009-07-28,1067.75,1076.75,1021.75,1043.75,804.7553100585938,6464
2009-07-29,1003.0,1053.75,1000.0,1024.0,789.5275268554688,4672
2009-07-30,1029.0,1039.5,974.625,976.875,753.193115234375,9040
2009-07-31,951.5,970.25,914.625,915.375,705.7750854492188,12208
2009-08-03,934.875,974.125,934.875,962.375,742.0133056640625,10376
2009-08-04,937.5,1008.625,937.5,986.375,760.517822265625,6560
2009-08-05,1019.375,1037.5,972.5,1036.625,799.2617797851562,5408
2009-08-06,1034.125,1050.0,1000.625,1021.25,787.4071044921875,5384
2009-08-07,1053.0,1062.25,1039.375,1054.0,812.6583862304688,7248
2009-08-10,1050.5,1054.125,1007.25,1010.0,778.7332763671875,3728
