datetime,date,time,open,high,low,close,volume,vwap,transactions,timestamp
2005-01-03 10:00:00-05:00,2005-01-03,10:00,21.78,21.9,21.25,21.49,3459900.0,21.5063,2018,1104764400000
2005-01-03 11:00:00-05:00,2005-01-03,11:00,21.48,21.57,21.39,21.42,1055000.0,21.4857,1155,1104768000000
2005-01-03 12:00:00-05:00,2005-01-03,12:00,21.42,21.46,21.32,21.45,795800.0,21.3856,599,1104771600000
2005-01-03 13:00:00-05:00,2005-01-03,13:00,21.45,21.51,21.44,21.46,451500.0,21.4734,604,1104775200000
2005-01-03 14:00:00-05:00,2005-01-03,14:00,21.46,21.6,21.45,21.52,677300.0,21.538,733,1104778800000
2005-01-03 15:00:00-05:00,2005-01-03,15:00,21.52,21.54,21.38,21.41,1268500.0,21.4272,1058,1104782400000
2005-01-04 10:00:00-05:00,2005-01-04,10:00,20.88,21.04,20.45,20.48,3271800.0,20.6559,2391,1104850800000
2005-01-04 11:00:00-05:00,2005-01-04,11:00,20.47,20.55,20.33,20.45,3540200.0,20.4351,2010,1104854400000
2005-01-04 12:00:00-05:00,2005-01-04,12:00,20.43,20.57,20.4,20.49,1760100.0,20.472,1165,1104858000000
2005-01-04 13:00:00-05:00,2005-01-04,13:00,20.49,20.52,20.43,20.47,1398200.0,20.491,814,1104861600000
2005-01-04 14:00:00-05:00,2005-01-04,14:00,20.48,20.48,20.21,20.43,2088500.0,20.3476,1652,1104865200000
2005-01-04 15:00:00-05:00,2005-01-04,15:00,20.42,20.51,20.21,20.22,3783900.0,20.3836,1781,1104868800000
2005-01-05 10:00:00-05:00,2005-01-05,10:00,20.37,20.61,20.22,20.27,2834100.0,20.4022,1663,1104937200000
2005-01-05 11:00:00-05:00,2005-01-05,11:00,20.28,20.4,19.82,20.04,3756800.0,20.0785,2192,1104940800000
2005-01-05 12:00:00-05:00,2005-01-05,12:00,20.04,20.08,19.52,19.77,2797600.0,19.8088,1895,1104944400000
2005-01-05 13:00:00-05:00,2005-01-05,13:00,19.78,19.95,19.55,19.91,2443000.0,19.848,1733,1104948000000
2005-01-05 14:00:00-05:00,2005-01-05,14:00,19.91,20.08,19.9,19.91,1972200.0,19.9905,1280,1104951600000
2005-01-05 15:00:00-05:00,2005-01-05,15:00,19.9,19.93,19.63,19.75,2934900.0,19.7709,1797,1104955200000
2005-01-06 10:00:00-05:00,2005-01-06,10:00,19.93,20.04,19.34,19.85,1772100.0,19.9112,1420,1105023600000
2005-01-06 11:00:00-05:00,2005-01-06,11:00,19.85,20.11,19.8,19.99,1512900.0,19.9669,1203,1105027200000
