datetime,date,time,open,high,low,close,volume,vwap,transactions,timestamp
2022-03-08 10:00:00-05:00,2022-03-08,10:00,25.4,25.4,25.28,25.28,2400.0,25.285,10,1646751600000
2022-03-08 11:00:00-05:00,2022-03-08,11:00,25.33,25.33,25.31,25.33,1640.0,25.3253,11,1646755200000
2022-03-08 12:00:00-05:00,2022-03-08,12:00,25.33,25.43,25.33,25.43,2205.0,25.3796,9,1646758800000
2022-03-08 13:00:00-05:00,2022-03-08,13:00,25.43,25.43,25.2,25.2,15460.0,25.271,31,1646762400000
2022-03-08 15:00:00-05:00,2022-03-08,15:00,25.28,25.28,25.28,25.28,100.0,25.275,1,1646769600000
2022-03-09 10:00:00-05:00,2022-03-09,10:00,24.75,24.98,24.75,24.88,2211.0,24.9589,20,1646838000000
2022-03-09 11:00:00-05:00,2022-03-09,11:00,24.9,24.9,24.87,24.87,300.0,24.89,3,1646841600000
2022-03-09 12:00:00-05:00,2022-03-09,12:00,24.83,24.83,24.55,24.55,2650.0,24.6656,18,1646845200000
2022-03-09 13:00:00-05:00,2022-03-09,13:00,24.51,24.51,24.51,24.51,200.0,24.5133,1,1646848800000
2022-03-09 14:00:00-05:00,2022-03-09,14:00,24.67,24.67,24.63,24.63,7812.0,24.6305,2,1646852400000
2022-03-10 10:00:00-05:00,2022-03-10,10:00,24.95,24.95,24.71,24.71,200.0,24.83,2,1646924400000
2022-03-10 12:00:00-05:00,2022-03-10,12:00,24.87,24.87,24.87,24.87,1000.0,24.87,2,1646931600000
2022-03-10 13:00:00-05:00,2022-03-10,13:00,24.87,24.87,24.87,24.87,900.0,24.87,9,1646935200000
2022-03-10 15:00:00-05:00,2022-03-10,15:00,24.9,24.9,24.9,24.9,801.0,24.9124,3,1646942400000
2022-03-11 10:00:00-05:00,2022-03-11,10:00,24.85,24.85,24.77,24.85,2510.0,24.8119,26,1647010800000
2022-03-11 11:00:00-05:00,2022-03-11,11:00,24.92,24.92,24.92,24.92,600.0,24.92,6,1647014400000
2022-03-11 13:00:00-05:00,2022-03-11,13:00,24.9,24.9,24.9,24.9,1800.0,24.9,18,1647021600000
2022-03-14 10:00:00-04:00,2022-03-14,10:00,24.47,24.47,24.36,24.36,300.0,24.3966,3,1647266400000
2022-03-14 11:00:00-04:00,2022-03-14,11:00,24.33,24.33,24.3,24.3,205.0,24.3154,3,1647270000000
2022-03-14 12:00:00-04:00,2022-03-14,12:00,24.28,24.28,24.25,24.26,702.0,24.2671,10,1647273600000
2022-03-14 13:00:00-04:00,2022-03-14,13:00,24.25,24.25,24.25,24.25,100.0,24.245,1,1647277200000
2022-03-14 15:00:00-04:00,2022-03-14,15:00,24.29,24.29,24.29,24.29,140.0,24.289,2,1647284400000
2022-03-15 10:00:00-04:00,2022-03-15,10:00,24.32,24.35,24.28,24.29,1352.0,24.32,12,1647352800000
2022-03-15 11:00:00-04:00,2022-03-15,11:00,24.32,24.34,24.31,24.31,500.0,24.326,4,1647356400000
2022-03-15 12:00:00-04:00,2022-03-15,12:00,24.4,24.42,24.4,24.41,890.0,24.4108,8,1647360000000
2022-03-15 13:00:00-04:00,2022-03-15,13:00,24.38,24.38,24.38,24.38,200.0,24.38,2,1647363600000
2022-03-15 14:00:00-04:00,2022-03-15,14:00,24.37,24.37,24.31,24.31,299.0,24.3433,4,1647367200000
2022-03-15 15:00:00-04:00,2022-03-15,15:00,24.33,24.33,24.33,24.33,122.0,24.33,2,1647370800000
2022-03-16 10:00:00-04:00,2022-03-16,10:00,24.15,24.16,24.15,24.16,510.0,24.158,6,1647439200000
2022-03-16 11:00:00-04:00,2022-03-16,11:00,24.18,24.18,24.18,24.18,455.0,24.18,5,1647442800000
2022-03-16 14:00:00-04:00,2022-03-16,14:00,24.16,24.18,24.16,24.18,200.0,24.1693,2,1647453600000
2022-03-16 15:00:00-04:00,2022-03-16,15:00,24.23,24.23,24.21,24.21,400.0,24.2212,3,1647457200000
2022-03-17 10:00:00-04:00,2022-03-17,10:00,24.46,24.46,24.46,24.46,254.0,24.46,1,1647525600000
2022-03-17 11:00:00-04:00,2022-03-17,11:00,24.34,24.34,24.34,24.34,105.0,24.335,2,1647529200000
2022-03-17 14:00:00-04:00,2022-03-17,14:00,24.27,24.27,24.27,24.27,1000.0,24.266,1,1647540000000
2022-03-18 10:00:00-04:00,2022-03-18,10:00,24.22,24.22,24.17,24.22,2287.0,24.2002,12,1647612000000
2022-03-18 11:00:00-04:00,2022-03-18,11:00,24.18,24.18,24.16,24.16,600.0,24.1717,6,1647615600000
2022-03-18 12:00:00-04:00,2022-03-18,12:00,24.12,24.12,24.1,24.1,300.0,24.1067,3,1647619200000
2022-03-21 10:00:00-04:00,2022-03-21,10:00,24.02,24.34,24.02,24.34,525.0,24.1521,5,1647871200000
2022-03-21 11:00:00-04:00,2022-03-21,11:00,24.32,24.32,24.32,24.32,352.0,24.3091,4,1647874800000
2022-03-21 13:00:00-04:00,2022-03-21,13:00,24.31,24.31,24.3,24.31,1600.0,24.3068,8,1647882000000
2022-03-21 15:00:00-04:00,2022-03-21,15:00,24.32,24.32,24.31,24.31,300.0,24.315,3,1647889200000
2022-03-22 10:00:00-04:00,2022-03-22,10:00,24.14,24.16,24.07,24.08,1200.0,24.1397,11,1647957600000
2022-03-22 12:00:00-04:00,2022-03-22,12:00,24.19,24.19,24.11,24.11,614.0,24.152,8,1647964800000
2022-03-23 12:00:00-04:00,2022-03-23,12:00,24.27,24.27,24.27,24.27,123.0,24.2654,1,1648051200000
2022-03-23 13:00:00-04:00,2022-03-23,13:00,24.23,24.23,24.23,24.23,200.0,24.23,1,1648054800000
2022-03-23 15:00:00-04:00,2022-03-23,15:00,24.26,24.26,24.25,24.25,906.0,24.2524,7,1648062000000
2022-03-24 12:00:00-04:00,2022-03-24,12:00,24.24,24.24,24.24,24.24,140.0,24.2517,2,1648137600000
2022-03-24 13:00:00-04:00,2022-03-24,13:00,24.29,24.29,24.07,24.07,694.0,24.2052,7,1648141200000
2022-03-24 14:00:00-04:00,2022-03-24,14:00,24.17,24.26,24.17,24.26,240.0,24.2225,3,1648144800000
2022-03-24 15:00:00-04:00,2022-03-24,15:00,24.26,24.28,24.26,24.26,961.0,24.2653,8,1648148400000
2022-03-25 10:00:00-04:00,2022-03-25,10:00,24.2,24.21,24.2,24.21,400.0,24.205,3,1648216800000
2022-03-25 11:00:00-04:00,2022-03-25,11:00,24.22,24.22,24.22,24.22,100.0,24.215,1,1648220400000
2022-03-25 12:00:00-04:00,2022-03-25,12:00,24.22,24.23,24.22,24.23,400.0,24.2238,4,1648224000000
2022-03-25 13:00:00-04:00,2022-03-25,13:00,24.23,24.23,24.23,24.23,400.0,24.2294,2,1648227600000
2022-03-25 15:00:00-04:00,2022-03-25,15:00,24.25,24.27,24.22,24.25,1800.0,24.2547,14,1648234800000
2022-03-28 14:00:00-04:00,2022-03-28,14:00,24.18,24.18,24.18,24.18,100.0,24.179,1,1648490400000
2022-03-28 15:00:00-04:00,2022-03-28,15:00,24.17,24.17,24.13,24.13,2500.0,24.1424,25,1648494000000
2022-03-29 11:00:00-04:00,2022-03-29,11:00,24.0,24.0,23.99,23.99,1096.0,23.9995,12,1648566000000
2022-03-30 11:00:00-04:00,2022-03-30,11:00,24.23,24.23,24.23,24.23,250.0,24.23,3,1648652400000
2022-03-30 13:00:00-04:00,2022-03-30,13:00,24.19,24.2,24.19,24.2,2000.0,24.1922,14,1648659600000
2022-03-31 10:00:00-04:00,2022-03-31,10:00,24.31,24.31,24.31,24.31,415.0,24.3104,5,1648735200000
2022-03-31 11:00:00-04:00,2022-03-31,11:00,24.24,24.25,24.24,24.25,250.0,24.243,3,1648738800000
2022-03-31 12:00:00-04:00,2022-03-31,12:00,24.23,24.23,24.17,24.17,560.0,24.2019,2,1648742400000
2022-03-31 13:00:00-04:00,2022-03-31,13:00,24.17,24.17,24.17,24.17,206.0,24.17,3,1648746000000
2022-03-31 14:00:00-04:00,2022-03-31,14:00,24.13,24.13,24.13,24.13,215.0,24.13,3,1648749600000
2022-03-31 15:00:00-04:00,2022-03-31,15:00,24.1,24.1,24.1,24.1,127.0,24.1,1,1648753200000
2022-04-01 11:00:00-04:00,2022-04-01,11:00,24.21,24.21,24.21,24.21,281.0,24.2083,1,1648825200000
2022-04-01 13:00:00-04:00,2022-04-01,13:00,24.2,24.2,24.2,24.2,206.0,24.2,3,1648832400000
2022-04-01 15:00:00-04:00,2022-04-01,15:00,24.22,24.22,24.22,24.22,410.0,24.2186,4,1648839600000
2022-04-04 10:00:00-04:00,2022-04-04,10:00,24.15,24.15,24.15,24.15,107.0,24.15,1,1649080800000
2022-04-04 11:00:00-04:00,2022-04-04,11:00,24.32,24.32,24.28,24.28,3384.0,24.3102,34,1649084400000
2022-04-06 14:00:00-04:00,2022-04-06,14:00,24.35,24.35,24.35,24.35,100.0,24.35,1,1649268000000
2022-04-07 14:00:00-04:00,2022-04-07,14:00,24.5,24.5,24.5,24.5,100.0,24.5,1,1649354400000
2022-04-08 10:00:00-04:00,2022-04-08,10:00,24.5,24.5,24.48,24.48,3821.0,24.4812,40,1649426400000
2022-04-08 12:00:00-04:00,2022-04-08,12:00,24.48,24.48,24.48,24.48,1640.0,24.48,1,1649433600000
2022-04-08 13:00:00-04:00,2022-04-08,13:00,24.41,24.41,24.41,24.41,500.0,24.4143,1,1649437200000
2022-04-08 14:00:00-04:00,2022-04-08,14:00,24.4,24.4,24.4,24.4,409.0,24.4,1,1649440800000
2022-04-11 11:00:00-04:00,2022-04-11,11:00,24.63,24.63,24.63,24.63,300.0,24.6296,3,1649689200000
2022-04-11 12:00:00-04:00,2022-04-11,12:00,24.64,24.64,24.58,24.58,500.0,24.5996,3,1649692800000
2022-04-11 15:00:00-04:00,2022-04-11,15:00,24.64,24.65,24.63,24.65,2292.0,24.6474,7,1649703600000
2022-04-12 12:00:00-04:00,2022-04-12,12:00,24.55,24.55,24.5,24.5,1266.0,24.5055,14,1649779200000
2022-04-12 14:00:00-04:00,2022-04-12,14:00,24.49,24.51,24.49,24.51,210.0,24.5005,3,1649786400000
2022-04-12 15:00:00-04:00,2022-04-12,15:00,24.54,24.55,24.54,24.54,2214.0,24.5414,23,1649790000000
2022-04-13 11:00:00-04:00,2022-04-13,11:00,24.57,24.57,24.49,24.49,2200.0,24.5664,2,1649862000000
2022-04-13 13:00:00-04:00,2022-04-13,13:00,24.59,24.59,24.48,24.59,2016.0,24.5551,8,1649869200000
2022-04-13 14:00:00-04:00,2022-04-13,14:00,24.59,24.59,24.59,24.59,200.0,24.59,1,1649872800000
2022-04-13 15:00:00-04:00,2022-04-13,15:00,24.59,24.8,24.59,24.77,1553.0,24.7402,14,1649876400000
2022-04-14 10:00:00-04:00,2022-04-14,10:00,24.84,24.84,24.84,24.84,200.0,24.84,2,1649944800000
2022-04-14 11:00:00-04:00,2022-04-14,11:00,25.0,25.0,24.96,24.96,455.0,24.9873,4,1649948400000
2022-04-14 12:00:00-04:00,2022-04-14,12:00,24.96,25.02,24.96,25.0,884.0,25.0007,9,1649952000000
2022-04-14 13:00:00-04:00,2022-04-14,13:00,25.06,25.06,25.06,25.06,300.0,25.06,3,1649955600000
2022-04-14 14:00:00-04:00,2022-04-14,14:00,25.14,25.14,25.14,25.14,431.0,25.14,5,1649959200000
2022-04-18 10:00:00-04:00,2022-04-18,10:00,25.15,25.28,25.15,25.19,1999.0,25.2052,10,1650290400000
2022-04-18 11:00:00-04:00,2022-04-18,11:00,25.26,25.35,25.26,25.35,611.0,25.3084,4,1650294000000
2022-04-18 13:00:00-04:00,2022-04-18,13:00,25.49,25.52,25.42,25.52,1600.0,25.4424,16,1650301200000
2022-04-18 14:00:00-04:00,2022-04-18,14:00,25.5,25.5,25.4,25.4,1900.0,25.4711,5,1650304800000
2022-04-18 15:00:00-04:00,2022-04-18,15:00,25.44,25.44,25.4,25.4,873.0,25.4352,9,1650308400000
2022-04-19 10:00:00-04:00,2022-04-19,10:00,25.02,25.02,25.0,25.0,865.0,24.974,10,1650376800000
2022-04-19 11:00:00-04:00,2022-04-19,11:00,24.98,25.0,24.95,25.0,600.0,24.9792,5,1650380400000
2022-04-19 13:00:00-04:00,2022-04-19,13:00,25.01,25.01,25.01,25.01,100.0,25.01,1,1650387600000
2022-04-19 14:00:00-04:00,2022-04-19,14:00,25.06,25.06,25.06,25.06,140.0,25.0541,2,1650391200000
2022-04-19 15:00:00-04:00,2022-04-19,15:00,25.08,25.1,25.08,25.1,242.0,25.0883,3,1650394800000
