datetime,date,time,open,high,low,close,volume,vwap,transactions,timestamp
2011-06-16 10:00:00-04:00,2011-06-16,10:00,3.875,3.875,3.875,3.875,1000.0,3.875,1,1308232800000
2011-06-16 15:00:00-04:00,2011-06-16,15:00,3.831,3.831,3.825,3.825,4000.0,3.828,2,1308250800000
2011-06-17 10:00:00-04:00,2011-06-17,10:00,3.925,3.925,3.925,3.925,1000.0,3.925,1,1308319200000
2011-06-20 11:00:00-04:00,2011-06-20,11:00,3.955,3.955,3.955,3.955,1000.0,3.955,1,1308582000000
2011-06-20 15:00:00-04:00,2011-06-20,15:00,3.971,3.971,3.971,3.971,1000.0,3.971,1,1308596400000
2011-06-21 10:00:00-04:00,2011-06-21,10:00,4.047,4.047,4.047,4.047,4000.0,4.0472,1,1308664800000
2011-06-22 11:00:00-04:00,2011-06-22,11:00,4.066,4.074,4.066,4.074,19000.0,4.0697,5,1308754800000
2011-06-22 12:00:00-04:00,2011-06-22,12:00,4.06,4.066,4.057,4.065,18500.0,4.0609,7,1308758400000
2011-06-22 13:00:00-04:00,2011-06-22,13:00,4.083,4.083,4.083,4.083,1000.0,4.083,1,1308762000000
2011-06-22 14:00:00-04:00,2011-06-22,14:00,4.076,4.077,4.076,4.077,5300.0,4.0763,3,1308765600000
2011-06-22 15:00:00-04:00,2011-06-22,15:00,4.042,4.049,4.032,4.035,28030.0,4.0413,10,1308769200000
2011-06-23 10:00:00-04:00,2011-06-23,10:00,3.893,3.893,3.855,3.855,2000.0,3.874,2,1308837600000
2011-06-24 10:00:00-04:00,2011-06-24,10:00,3.88,3.88,3.88,3.88,1000.0,3.88,1,1308924000000
2011-06-24 11:00:00-04:00,2011-06-24,11:00,3.862,3.886,3.862,3.886,6500.0,3.8675,2,1308927600000
2011-06-27 11:00:00-04:00,2011-06-27,11:00,3.888,3.888,3.888,3.888,1000.0,3.888,1,1309186800000
2011-06-27 13:00:00-04:00,2011-06-27,13:00,3.904,3.904,3.875,3.883,63130.0,3.8893,26,1309194000000
2011-06-27 15:00:00-04:00,2011-06-27,15:00,3.909,3.909,3.909,3.909,1000.0,3.909,1,1309201200000
2011-06-28 14:00:00-04:00,2011-06-28,14:00,4.084,4.084,4.084,4.084,2000.0,4.084,1,1309284000000
2011-06-28 15:00:00-04:00,2011-06-28,15:00,4.074,4.074,4.074,4.074,3500.0,4.074,2,1309287600000
2011-06-29 10:00:00-04:00,2011-06-29,10:00,4.063,4.071,4.061,4.071,8000.0,4.0658,4,1309356000000
2011-06-29 11:00:00-04:00,2011-06-29,11:00,4.095,4.095,4.095,4.095,4000.0,4.095,1,1309359600000
2011-06-29 12:00:00-04:00,2011-06-29,12:00,4.09,4.098,4.088,4.089,12500.0,4.0928,5,1309363200000
2011-06-29 13:00:00-04:00,2011-06-29,13:00,4.107,4.107,4.107,4.107,1000.0,4.1072,1,1309366800000
2011-06-29 15:00:00-04:00,2011-06-29,15:00,4.104,4.104,4.104,4.104,6000.0,4.1042,2,1309374000000
2011-06-30 10:00:00-04:00,2011-06-30,10:00,4.153,4.154,4.153,4.154,7200.0,4.1533,4,1309442400000
2011-06-30 12:00:00-04:00,2011-06-30,12:00,4.15,4.15,4.15,4.15,4000.0,4.15,1,1309449600000
2011-06-30 13:00:00-04:00,2011-06-30,13:00,4.146,4.146,4.124,4.124,9000.0,4.1362,2,1309453200000
2011-06-30 15:00:00-04:00,2011-06-30,15:00,4.121,4.136,4.12,4.136,3000.0,4.1257,3,1309460400000
2011-07-01 13:00:00-04:00,2011-07-01,13:00,4.222,4.222,4.222,4.222,2000.0,4.222,1,1309539600000
2011-07-01 14:00:00-04:00,2011-07-01,14:00,4.24,4.24,4.24,4.24,7500.0,4.24,4,1309543200000
2011-07-01 15:00:00-04:00,2011-07-01,15:00,4.284,4.29,4.284,4.29,4500.0,4.2884,3,1309546800000
2011-07-05 10:00:00-04:00,2011-07-05,10:00,4.244,4.247,4.244,4.247,10000.0,4.2452,4,1309874400000
