datetime,date,time,open,high,low,close,volume,vwap,transactions,timestamp
2019-05-08 10:00:00-04:00,2019-05-08,10:00,25.03,25.04,25.03,25.04,499100.0,25.03,2,1557324000000
2019-05-08 11:00:00-04:00,2019-05-08,11:00,25.01,25.01,25.01,25.01,200.0,25.01,1,1557327600000
2019-05-09 15:00:00-04:00,2019-05-09,15:00,24.94,24.94,24.94,24.94,400.0,24.94,1,1557428400000
2019-05-14 10:00:00-04:00,2019-05-14,10:00,24.96,24.96,24.96,24.96,100.0,24.96,1,1557842400000
2019-05-14 11:00:00-04:00,2019-05-14,11:00,25.0,25.0,25.0,25.0,100.0,25.0,1,1557846000000
2019-05-16 15:00:00-04:00,2019-05-16,15:00,25.58,25.58,25.58,25.58,100.0,25.58,1,1558033200000
2019-05-17 12:00:00-04:00,2019-05-17,12:00,25.7,25.7,25.7,25.7,550.0,25.703,1,1558108800000
2019-05-20 10:00:00-04:00,2019-05-20,10:00,25.6,25.6,25.6,25.6,100.0,25.6,1,1558360800000
2019-05-20 14:00:00-04:00,2019-05-20,14:00,25.5,25.5,25.5,25.5,100.0,25.5,1,1558375200000
2019-05-21 15:00:00-04:00,2019-05-21,15:00,25.55,25.55,25.55,25.55,100.0,25.545,1,1558465200000
2019-05-22 10:00:00-04:00,2019-05-22,10:00,25.53,25.53,25.51,25.51,399.0,25.5219,2,1558533600000
2019-05-23 10:00:00-04:00,2019-05-23,10:00,25.42,25.42,25.42,25.42,110.0,25.42,1,1558620000000
2019-05-23 11:00:00-04:00,2019-05-23,11:00,25.37,25.37,25.37,25.37,220.0,25.37,2,1558623600000
2019-05-23 12:00:00-04:00,2019-05-23,12:00,25.38,25.38,25.38,25.38,110.0,25.38,1,1558627200000
2019-05-23 14:00:00-04:00,2019-05-23,14:00,25.39,25.39,25.39,25.39,100.0,25.39,1,1558634400000
2019-05-28 10:00:00-04:00,2019-05-28,10:00,25.61,25.61,25.61,25.61,100.0,25.61,1,1559052000000
2019-05-28 11:00:00-04:00,2019-05-28,11:00,25.69,25.69,25.69,25.69,100.0,25.69,1,1559055600000
2019-06-03 11:00:00-04:00,2019-06-03,11:00,25.27,25.27,25.27,25.27,160.0,25.27,2,1559574000000
2019-06-03 13:00:00-04:00,2019-06-03,13:00,25.21,25.23,25.2,25.23,1300.0,25.2141,5,1559581200000
2019-06-04 12:00:00-04:00,2019-06-04,12:00,25.27,25.27,25.27,25.27,550.0,25.2697,2,1559664000000
2019-06-07 10:00:00-04:00,2019-06-07,10:00,25.59,25.59,25.59,25.59,100.0,25.59,1,1559916000000
2019-06-07 11:00:00-04:00,2019-06-07,11:00,25.6,25.6,25.56,25.56,453.0,25.5688,3,1559919600000
2019-06-07 12:00:00-04:00,2019-06-07,12:00,25.57,25.58,25.57,25.58,200.0,25.575,2,1559923200000
2019-06-07 14:00:00-04:00,2019-06-07,14:00,25.56,25.56,25.56,25.56,100.0,25.56,1,1559930400000
2019-06-10 12:00:00-04:00,2019-06-10,12:00,25.5,25.5,25.5,25.5,350.0,25.5,2,1560182400000
2019-06-10 13:00:00-04:00,2019-06-10,13:00,25.48,25.48,25.45,25.45,7762.0,25.4504,2,1560186000000
2019-06-10 15:00:00-04:00,2019-06-10,15:00,25.46,25.46,25.46,25.46,200.0,25.46,1,1560193200000
2019-06-11 11:00:00-04:00,2019-06-11,11:00,25.37,25.37,25.37,25.37,350.0,25.365,1,1560265200000
2019-06-11 13:00:00-04:00,2019-06-11,13:00,25.39,25.39,25.39,25.39,1370.0,25.3893,6,1560272400000
