datetime,date,time,open,high,low,close,volume,vwap,transactions,timestamp
2018-08-02 11:00:00-04:00,2018-08-02,11:00,10.154,10.268,10.154,10.268,1000.0,10.211,2,1533222000000
2018-08-07 15:00:00-04:00,2018-08-07,15:00,10.984,10.984,10.984,10.984,5000.0,10.984,7,1533668400000
2018-08-08 11:00:00-04:00,2018-08-08,11:00,10.882,10.882,10.882,10.882,4500.0,10.882,9,1533740400000
2018-08-17 10:00:00-04:00,2018-08-17,10:00,9.99,9.99,9.99,9.99,505.0,9.9894,2,1534514400000
2018-09-17 10:00:00-04:00,2018-09-17,10:00,9.814,9.814,9.796,9.796,1000.0,9.8048,2,1537192800000
2018-09-17 15:00:00-04:00,2018-09-17,15:00,9.81,9.81,9.81,9.81,500.0,9.8103,1,1537210800000
2018-09-18 13:00:00-04:00,2018-09-18,13:00,9.758,9.758,9.758,9.758,5000.0,9.758,1,1537290000000
2018-09-28 12:00:00-04:00,2018-09-28,12:00,10.222,10.222,10.222,10.222,1250.0,10.222,1,1538150400000
2018-09-28 15:00:00-04:00,2018-09-28,15:00,10.126,10.126,10.098,10.112,9500.0,10.1165,22,1538161200000
2018-10-02 11:00:00-04:00,2018-10-02,11:00,10.386,10.392,10.386,10.392,1250.0,10.3887,2,1538492400000
2018-10-11 14:00:00-04:00,2018-10-11,14:00,8.01,8.01,7.994,7.994,1000.0,8.002,2,1539280800000
2018-10-12 11:00:00-04:00,2018-10-12,11:00,8.506,8.508,8.506,8.508,3500.0,8.5077,3,1539356400000
2018-10-12 12:00:00-04:00,2018-10-12,12:00,8.406,8.406,8.406,8.406,500.0,8.406,1,1539360000000
2018-10-19 12:00:00-04:00,2018-10-19,12:00,8.454,8.454,8.328,8.374,3000.0,8.396,6,1539964800000
2018-10-19 13:00:00-04:00,2018-10-19,13:00,8.35,8.35,8.35,8.35,500.0,8.35,1,1539968400000
2018-10-19 14:00:00-04:00,2018-10-19,14:00,8.248,8.248,8.248,8.248,500.0,8.248,1,1539972000000
2018-10-19 15:00:00-04:00,2018-10-19,15:00,8.276,8.318,8.276,8.318,1000.0,8.297,2,1539975600000
2018-10-23 10:00:00-04:00,2018-10-23,10:00,8.058,8.08,8.058,8.08,1000.0,8.069,2,1540303200000
2018-10-23 11:00:00-04:00,2018-10-23,11:00,8.044,8.044,8.044,8.044,500.0,8.044,1,1540306800000
2018-10-29 11:00:00-04:00,2018-10-29,11:00,8.122,8.122,8.122,8.122,500.0,8.122,1,1540825200000
2018-10-29 12:00:00-04:00,2018-10-29,12:00,8.092,8.092,7.948,7.948,1000.0,8.02,2,1540828800000
2018-10-29 14:00:00-04:00,2018-10-29,14:00,7.924,7.924,7.8,7.8,5500.0,7.8811,5,1540836000000
2018-10-29 15:00:00-04:00,2018-10-29,15:00,7.516,7.626,7.388,7.626,15010.0,7.5743,14,1540839600000
2018-11-02 11:00:00-04:00,2018-11-02,11:00,8.73,8.73,8.73,8.73,4190.0,8.73,3,1541170800000
2018-11-02 15:00:00-04:00,2018-11-02,15:00,8.588,8.588,8.588,8.588,500.0,8.588,1,1541185200000
2018-11-07 15:00:00-05:00,2018-11-07,15:00,8.934,8.94,8.934,8.94,1485.0,8.9369,2,1541620800000
2018-11-08 13:00:00-05:00,2018-11-08,13:00,8.7,8.7,8.7,8.7,645.0,8.7,2,1541700000000
2018-11-12 10:00:00-05:00,2018-11-12,10:00,7.854,7.856,7.834,7.834,11000.0,7.8383,20,1542034800000
2018-11-12 14:00:00-05:00,2018-11-12,14:00,7.796,7.796,7.796,7.796,985.0,7.796,1,1542049200000
2018-11-15 15:00:00-05:00,2018-11-15,15:00,8.114,8.114,8.114,8.114,3000.0,8.114,3,1542312000000
2018-11-28 10:00:00-05:00,2018-11-28,10:00,7.274,7.274,7.274,7.274,500.0,7.274,1,1543417200000
2018-11-28 14:00:00-05:00,2018-11-28,14:00,7.56,7.56,7.56,7.56,500.0,7.56,1,1543431600000
2018-11-29 10:00:00-05:00,2018-11-29,10:00,7.498,7.498,7.418,7.418,6110.0,7.4703,8,1543503600000
2018-11-30 10:00:00-05:00,2018-11-30,10:00,7.506,7.67,7.506,7.67,5500.0,7.6089,11,1543590000000
2018-11-30 13:00:00-05:00,2018-11-30,13:00,7.59,7.59,7.59,7.59,1000.0,7.59,1,1543600800000
2018-12-03 10:00:00-05:00,2018-12-03,10:00,8.194,8.194,8.194,8.194,2500.0,8.194,1,1543849200000
2018-12-03 14:00:00-05:00,2018-12-03,14:00,8.114,8.114,8.11,8.11,3000.0,8.1133,2,1543863600000
2018-12-03 15:00:00-05:00,2018-12-03,15:00,8.182,8.182,8.176,8.182,6500.0,8.1799,8,1543867200000
2018-12-04 11:00:00-05:00,2018-12-04,11:00,8.084,8.084,8.084,8.084,1000.0,8.084,1,1543939200000
2018-12-04 12:00:00-05:00,2018-12-04,12:00,7.948,7.948,7.688,7.688,2500.0,7.8248,3,1543942800000
2018-12-04 14:00:00-05:00,2018-12-04,14:00,7.714,7.714,7.714,7.714,1000.0,7.714,1,1543950000000
2018-12-06 11:00:00-05:00,2018-12-06,11:00,7.234,7.234,7.156,7.156,1500.0,7.182,2,1544112000000
2018-12-06 12:00:00-05:00,2018-12-06,12:00,7.41,7.41,7.41,7.41,1000.0,7.41,1,1544115600000
2018-12-06 13:00:00-05:00,2018-12-06,13:00,7.42,7.42,7.42,7.42,500.0,7.42,1,1544119200000
2018-12-06 14:00:00-05:00,2018-12-06,14:00,7.548,7.548,7.548,7.548,1000.0,7.548,1,1544122800000
2018-12-06 15:00:00-05:00,2018-12-06,15:00,7.582,7.582,7.582,7.582,500.0,7.582,1,1544126400000
