datetime,date,time,open,high,low,close,volume,vwap,transactions,timestamp
2020-12-02 13:00:00-05:00,2020-12-02,13:00,25.09,25.09,25.09,25.09,9200.0,25.09,1,1606932000000
2020-12-09 11:00:00-05:00,2020-12-09,11:00,25.53,25.53,25.53,25.53,392.0,25.5299,1,1607529600000
2020-12-14 12:00:00-05:00,2020-12-14,12:00,25.47,25.48,25.47,25.48,200.0,25.475,2,1607965200000
2020-12-14 13:00:00-05:00,2020-12-14,13:00,25.47,25.47,25.47,25.47,212.0,25.47,4,1607968800000
2020-12-29 15:00:00-05:00,2020-12-29,15:00,26.09,26.09,26.09,26.09,299.0,26.09,1,1609272000000
2020-12-30 15:00:00-05:00,2020-12-30,15:00,26.52,26.52,26.52,26.52,261.0,26.519,1,1609358400000
2020-12-31 14:00:00-05:00,2020-12-31,14:00,26.45,26.45,26.45,26.45,225.0,26.45,1,1609441200000
2021-01-12 15:00:00-05:00,2021-01-12,15:00,26.61,26.61,26.61,26.61,100.0,26.605,1,1610481600000
2021-01-14 14:00:00-05:00,2021-01-14,14:00,26.97,26.98,26.97,26.97,343.0,26.9727,5,1610650800000
2021-01-20 13:00:00-05:00,2021-01-20,13:00,26.84,26.85,26.84,26.85,300.0,26.845,3,1611165600000
2021-01-27 12:00:00-05:00,2021-01-27,12:00,26.54,26.54,26.54,26.54,100.0,26.535,1,1611766800000
2021-01-28 11:00:00-05:00,2021-01-28,11:00,26.69,26.69,26.69,26.69,223.0,26.69,1,1611849600000
2021-01-29 10:00:00-05:00,2021-01-29,10:00,26.62,26.62,26.62,26.62,300.0,26.62,1,1611932400000
2021-02-05 10:00:00-05:00,2021-02-05,10:00,26.6,26.6,26.6,26.6,300.0,26.6,3,1612537200000
2021-02-08 14:00:00-05:00,2021-02-08,14:00,27.02,27.02,27.02,27.02,100.0,27.02,1,1612810800000
2021-02-10 11:00:00-05:00,2021-02-10,11:00,27.01,27.01,27.0,27.0,220.0,27.0014,2,1612972800000
2021-02-11 13:00:00-05:00,2021-02-11,13:00,27.04,27.04,27.04,27.04,100.0,27.04,1,1613066400000
2021-02-11 14:00:00-05:00,2021-02-11,14:00,27.04,27.04,27.04,27.04,275.0,27.04,3,1613070000000
2021-02-12 14:00:00-05:00,2021-02-12,14:00,27.14,27.14,27.14,27.14,150.0,27.14,1,1613156400000
2021-02-18 12:00:00-05:00,2021-02-18,12:00,27.56,27.56,27.56,27.56,118.0,27.5613,3,1613667600000
2021-02-19 10:00:00-05:00,2021-02-19,10:00,27.88,27.88,27.88,27.88,100.0,27.875,1,1613746800000
2021-02-19 11:00:00-05:00,2021-02-19,11:00,27.84,27.84,27.84,27.84,674.0,27.8381,8,1613750400000
2021-02-19 13:00:00-05:00,2021-02-19,13:00,27.82,27.82,27.82,27.82,121.0,27.8159,2,1613757600000
2021-02-19 15:00:00-05:00,2021-02-19,15:00,27.78,27.8,27.78,27.8,300.0,27.79,3,1613764800000
2021-02-24 10:00:00-05:00,2021-02-24,10:00,28.57,28.6,28.57,28.59,500.0,28.591,3,1614178800000
2021-02-24 11:00:00-05:00,2021-02-24,11:00,28.55,28.55,28.55,28.55,400.0,28.5513,5,1614182400000
2021-02-25 10:00:00-05:00,2021-02-25,10:00,28.7,28.7,28.7,28.7,500.0,28.7,5,1614265200000
2021-02-25 13:00:00-05:00,2021-02-25,13:00,28.73,28.73,28.68,28.68,500.0,28.7,5,1614276000000
2021-02-26 11:00:00-05:00,2021-02-26,11:00,28.29,28.3,28.28,28.29,1500.0,28.29,13,1614355200000
2021-02-26 12:00:00-05:00,2021-02-26,12:00,28.21,28.22,28.21,28.22,500.0,28.218,5,1614358800000
2021-02-26 15:00:00-05:00,2021-02-26,15:00,28.13,28.13,28.13,28.13,500.0,28.1303,3,1614369600000
2021-03-01 12:00:00-05:00,2021-03-01,12:00,27.97,27.97,27.94,27.95,1115.0,27.9507,12,1614618000000
2021-03-01 13:00:00-05:00,2021-03-01,13:00,27.92,27.92,27.8,27.81,599.0,27.8267,6,1614621600000
2021-03-02 11:00:00-05:00,2021-03-02,11:00,27.88,27.89,27.87,27.87,1300.0,27.8792,13,1614700800000
2021-03-04 13:00:00-05:00,2021-03-04,13:00,28.02,28.02,28.02,28.02,1000.0,28.02,10,1614880800000
2021-03-19 11:00:00-04:00,2021-03-19,11:00,27.79,27.79,27.79,27.79,360.0,27.79,4,1616166000000
2021-03-22 13:00:00-04:00,2021-03-22,13:00,27.82,27.82,27.82,27.82,500.0,27.8199,5,1616432400000
2021-03-26 12:00:00-04:00,2021-03-26,12:00,27.38,27.38,27.38,27.38,200.0,27.38,2,1616774400000
2021-03-29 15:00:00-04:00,2021-03-29,15:00,27.6,27.63,27.57,27.63,750.0,27.6027,7,1617044400000
2021-03-31 11:00:00-04:00,2021-03-31,11:00,27.44,27.48,27.44,27.47,1500.0,27.4567,15,1617202800000
2021-03-31 12:00:00-04:00,2021-03-31,12:00,27.43,27.77,27.43,27.77,1598.0,27.6617,18,1617206400000
2021-03-31 14:00:00-04:00,2021-03-31,14:00,27.66,27.66,27.66,27.66,300.0,27.66,3,1617213600000
2021-03-31 15:00:00-04:00,2021-03-31,15:00,27.72,27.72,27.72,27.72,200.0,27.72,2,1617217200000
2021-04-05 13:00:00-04:00,2021-04-05,13:00,27.5,27.5,27.5,27.5,200.0,27.5,1,1617642000000
2021-04-06 14:00:00-04:00,2021-04-06,14:00,27.66,27.69,27.66,27.69,3400.0,27.6856,10,1617732000000
2021-04-07 12:00:00-04:00,2021-04-07,12:00,27.46,27.46,27.46,27.46,200.0,27.46,2,1617811200000
2021-04-19 11:00:00-04:00,2021-04-19,11:00,27.94,28.01,27.94,28.01,350.0,27.9788,4,1618844400000
2021-04-23 14:00:00-04:00,2021-04-23,14:00,28.52,28.52,28.52,28.52,594.0,28.5181,7,1619200800000
2021-04-29 13:00:00-04:00,2021-04-29,13:00,29.27,29.27,29.27,29.27,100.0,29.27,1,1619715600000
2021-05-06 14:00:00-04:00,2021-05-06,14:00,29.48,29.48,29.48,29.48,152.0,29.48,2,1620324000000
2021-05-11 11:00:00-04:00,2021-05-11,11:00,29.74,29.74,29.74,29.74,435.0,29.7373,1,1620745200000
2021-05-12 15:00:00-04:00,2021-05-12,15:00,30.44,30.44,30.43,30.43,827.0,30.4338,10,1620846000000
2021-05-13 15:00:00-04:00,2021-05-13,15:00,29.51,29.51,29.51,29.51,171.0,29.5073,3,1620932400000
2021-05-19 10:00:00-04:00,2021-05-19,10:00,29.26,29.26,29.26,29.26,200.0,29.26,2,1621432800000
2021-05-20 12:00:00-04:00,2021-05-20,12:00,29.13,29.13,29.13,29.13,300.0,29.13,3,1621526400000
2021-05-20 15:00:00-04:00,2021-05-20,15:00,29.04,29.04,29.04,29.04,100.0,29.04,1,1621537200000
2021-05-26 12:00:00-04:00,2021-05-26,12:00,29.26,29.26,29.26,29.26,728.0,29.26,6,1622044800000
2021-06-02 11:00:00-04:00,2021-06-02,11:00,29.8,29.8,29.8,29.8,700.0,29.8,7,1622646000000
2021-06-07 12:00:00-04:00,2021-06-07,12:00,29.77,29.77,29.77,29.77,360.0,29.77,4,1623081600000
2021-06-09 11:00:00-04:00,2021-06-09,11:00,29.56,29.57,29.56,29.57,339.0,29.5656,5,1623250800000
2021-06-09 14:00:00-04:00,2021-06-09,14:00,29.51,29.58,29.51,29.58,250.0,29.5478,4,1623261600000
2021-06-16 10:00:00-04:00,2021-06-16,10:00,29.49,29.51,29.49,29.5,997.0,29.5023,10,1623852000000
2021-06-23 15:00:00-04:00,2021-06-23,15:00,28.51,28.51,28.51,28.51,400.0,28.51,4,1624474800000
2021-07-02 11:00:00-04:00,2021-07-02,11:00,29.2,29.22,29.2,29.22,500.0,29.212,5,1625238000000
2021-07-02 13:00:00-04:00,2021-07-02,13:00,29.17,29.17,29.17,29.17,200.0,29.17,2,1625245200000
2021-07-19 14:00:00-04:00,2021-07-19,14:00,27.67,27.67,27.51,27.52,6897.0,27.6,71,1626717600000
2021-07-21 13:00:00-04:00,2021-07-21,13:00,28.04,28.06,27.83,27.83,400.0,27.9923,4,1626886800000
2021-07-22 13:00:00-04:00,2021-07-22,13:00,28.5,28.53,28.5,28.53,298.0,28.5168,3,1626973200000
2021-07-23 15:00:00-04:00,2021-07-23,15:00,28.66,28.67,28.66,28.67,880.0,28.686,6,1627066800000
2021-07-26 15:00:00-04:00,2021-07-26,15:00,28.67,28.67,28.6,28.6,500.0,28.6411,2,1627326000000
2021-08-02 13:00:00-04:00,2021-08-02,13:00,28.62,28.62,28.62,28.62,105.0,28.62,2,1627923600000
2021-08-04 11:00:00-04:00,2021-08-04,11:00,28.37,28.37,28.37,28.37,100.0,28.37,1,1628089200000
2021-08-04 14:00:00-04:00,2021-08-04,14:00,28.25,28.25,28.25,28.25,100.0,28.245,1,1628100000000
2021-08-05 14:00:00-04:00,2021-08-05,14:00,28.54,28.54,28.54,28.54,100.0,28.54,1,1628186400000
2021-08-06 15:00:00-04:00,2021-08-06,15:00,28.51,28.51,28.51,28.51,100.0,28.51,1,1628276400000
2021-08-20 12:00:00-04:00,2021-08-20,12:00,27.78,27.78,27.78,27.78,125.0,27.7824,1,1629475200000
2021-08-25 13:00:00-04:00,2021-08-25,13:00,28.34,28.34,28.34,28.34,100.0,28.3425,1,1629910800000
2021-08-27 12:00:00-04:00,2021-08-27,12:00,28.84,28.84,28.84,28.84,165.0,28.836,1,1630080000000
2021-08-27 15:00:00-04:00,2021-08-27,15:00,28.85,28.85,28.85,28.85,1122.0,28.8498,11,1630090800000
