datetime,date,time,open,high,low,close,volume,vwap,transactions,timestamp
2015-08-19 13:00:00-04:00,2015-08-19,13:00,39.81,39.81,39.81,39.81,100.0,39.81,1,1440003600000
2015-08-20 11:00:00-04:00,2015-08-20,11:00,38.64,38.72,38.64,38.72,650.0,38.683,4,1440082800000
2015-08-20 13:00:00-04:00,2015-08-20,13:00,38.24,38.24,38.24,38.24,200.0,38.24,1,1440090000000
2015-08-20 15:00:00-04:00,2015-08-20,15:00,37.95,37.95,37.75,37.75,700.0,37.8571,3,1440097200000
2015-08-21 10:00:00-04:00,2015-08-21,10:00,36.99,37.1,36.99,37.1,200.0,37.0451,2,1440165600000
2015-08-21 11:00:00-04:00,2015-08-21,11:00,35.23,35.23,35.23,35.23,100.0,35.23,1,1440169200000
2015-08-21 12:00:00-04:00,2015-08-21,12:00,36.39,36.39,36.39,36.39,100.0,36.39,1,1440172800000
2015-08-21 15:00:00-04:00,2015-08-21,15:00,35.67,35.67,35.67,35.67,100.0,35.6712,1,1440183600000
2015-08-24 10:00:00-04:00,2015-08-24,10:00,34.99,34.99,34.99,34.99,174.0,34.99,1,1440424800000
2015-08-24 11:00:00-04:00,2015-08-24,11:00,32.5,32.5,32.5,32.5,100.0,32.5,1,1440428400000
2015-08-27 10:00:00-04:00,2015-08-27,10:00,31.3,31.3,31.3,31.3,736.0,31.3,2,1440684000000
2015-08-27 11:00:00-04:00,2015-08-27,11:00,31.75,32.04,31.75,31.81,1100.0,31.8852,7,1440687600000
2015-08-27 13:00:00-04:00,2015-08-27,13:00,32.33,32.33,32.33,32.33,200.0,32.33,1,1440694800000
2015-08-27 14:00:00-04:00,2015-08-27,14:00,31.73,32.99,31.73,32.99,340.0,32.1006,3,1440698400000
2015-08-27 15:00:00-04:00,2015-08-27,15:00,31.4,33.52,31.4,33.52,1765.0,32.3387,10,1440702000000
2015-08-28 11:00:00-04:00,2015-08-28,11:00,32.05,32.05,32.05,32.05,100.0,32.05,1,1440774000000
2015-08-28 14:00:00-04:00,2015-08-28,14:00,31.91,31.91,31.91,31.91,100.0,31.91,1,1440784800000
2015-08-28 15:00:00-04:00,2015-08-28,15:00,33.0,33.0,33.0,33.0,125.0,32.98,2,1440788400000
2015-08-31 10:00:00-04:00,2015-08-31,10:00,31.75,31.75,31.75,31.75,200.0,31.75,1,1441029600000
