datetime,date,time,open,high,low,close,volume,vwap,transactions,timestamp
2005-01-03 10:00:00-05:00,2005-01-03,10:00,0.2034,0.2037,0.1962,0.1996,271269120.0,0.1991,6664,1104764400000
2005-01-03 11:00:00-05:00,2005-01-03,11:00,0.1996,0.2,0.1976,0.1992,108705960.0,0.199,2710,1104768000000
2005-01-03 12:00:00-05:00,2005-01-03,12:00,0.1991,0.1994,0.1979,0.199,56194080.0,0.1986,1244,1104771600000
2005-01-03 13:00:00-05:00,2005-01-03,13:00,0.1989,0.1994,0.1979,0.198,66591600.0,0.1986,1641,1104775200000
2005-01-03 14:00:00-05:00,2005-01-03,14:00,0.1979,0.1991,0.1979,0.1982,92392320.0,0.1984,1882,1104778800000
2005-01-03 15:00:00-05:00,2005-01-03,15:00,0.1981,0.1987,0.1957,0.1968,191797920.0,0.197,4455,1104782400000
2005-01-04 10:00:00-05:00,2005-01-04,10:00,0.1934,0.195,0.1908,0.191,146971800.0,0.1923,3397,1104850800000
2005-01-04 11:00:00-05:00,2005-01-04,11:00,0.1909,0.1915,0.19,0.1911,65871480.0,0.1909,1707,1104854400000
2005-01-04 12:00:00-05:00,2005-01-04,12:00,0.1911,0.1911,0.188,0.1887,94829160.0,0.1892,2319,1104858000000
2005-01-04 13:00:00-05:00,2005-01-04,13:00,0.1887,0.1915,0.1881,0.1885,51258360.0,0.1887,1301,1104861600000
2005-01-04 14:00:00-05:00,2005-01-04,14:00,0.1885,0.1889,0.1843,0.1863,163603080.0,0.1867,4296,1104865200000
2005-01-04 15:00:00-05:00,2005-01-04,15:00,0.1863,0.1879,0.1858,0.1871,142545240.0,0.1868,3830,1104868800000
2005-01-05 10:00:00-05:00,2005-01-05,10:00,0.19,0.1913,0.1858,0.187,134265240.0,0.1891,3601,1104937200000
2005-01-05 11:00:00-05:00,2005-01-05,11:00,0.187,0.1885,0.186,0.1872,68848920.0,0.1872,1760,1104940800000
2005-01-05 12:00:00-05:00,2005-01-05,12:00,0.1871,0.1876,0.1852,0.1865,68150160.0,0.1865,1805,1104944400000
2005-01-05 13:00:00-05:00,2005-01-05,13:00,0.1865,0.1909,0.1865,0.1901,96786480.0,0.1893,2157,1104948000000
2005-01-05 14:00:00-05:00,2005-01-05,14:00,0.1902,0.1909,0.1889,0.1899,63935640.0,0.1901,1965,1104951600000
2005-01-05 15:00:00-05:00,2005-01-05,15:00,0.1899,0.191,0.1879,0.189,183062160.0,0.1895,4574,1104955200000
2005-01-06 10:00:00-05:00,2005-01-06,10:00,0.1901,0.1901,0.1858,0.1868,168504600.0,0.1882,3475,1105023600000
2005-01-06 11:00:00-05:00,2005-01-06,11:00,0.187,0.19,0.1865,0.1884,63919680.0,0.1884,1799,1105027200000
2005-01-06 12:00:00-05:00,2005-01-06,12:00,0.1884,0.189,0.1875,0.1878,28183200.0,0.1883,813,1105030800000
2005-01-06 13:00:00-05:00,2005-01-06,13:00,0.1878,0.1894,0.1867,0.1892,39448920.0,0.1882,1238,1105034400000
2005-01-06 14:00:00-05:00,2005-01-06,14:00,0.1892,0.1894,0.1876,0.188,41578320.0,0.1883,1261,1105038000000
2005-01-06 15:00:00-05:00,2005-01-06,15:00,0.188,0.188,0.1865,0.187,82554360.0,0.1871,2034,1105041600000
2005-01-07 10:00:00-05:00,2005-01-07,10:00,0.1874,0.1881,0.1809,0.1825,205426200.0,0.1837,5038,1105110000000
2005-01-07 11:00:00-05:00,2005-01-07,11:00,0.1826,0.1871,0.1825,0.1861,100573440.0,0.1854,2530,1105113600000
2005-01-07 12:00:00-05:00,2005-01-07,12:00,0.1861,0.188,0.185,0.1875,62925240.0,0.187,1617,1105117200000
2005-01-07 13:00:00-05:00,2005-01-07,13:00,0.1876,0.1889,0.1871,0.1871,70104840.0,0.1879,1453,1105120800000
2005-01-07 14:00:00-05:00,2005-01-07,14:00,0.187,0.188,0.1853,0.1865,54334200.0,0.1864,1506,1105124400000
2005-01-07 15:00:00-05:00,2005-01-07,15:00,0.1865,0.1871,0.183,0.184,198164640.0,0.1846,3602,1105128000000
2005-01-10 10:00:00-05:00,2005-01-10,10:00,0.1847,0.1858,0.1837,0.1848,82674240.0,0.1847,1894,1105369200000
2005-01-10 11:00:00-05:00,2005-01-10,11:00,0.1846,0.1851,0.1837,0.1845,117543600.0,0.1847,1616,1105372800000
2005-01-10 12:00:00-05:00,2005-01-10,12:00,0.1845,0.1847,0.184,0.1844,26310840.0,0.1845,797,1105376400000
2005-01-10 13:00:00-05:00,2005-01-10,13:00,0.1844,0.1847,0.1838,0.184,69904800.0,0.1842,1105,1105380000000
2005-01-10 14:00:00-05:00,2005-01-10,14:00,0.184,0.1846,0.184,0.1844,65414160.0,0.1843,951,1105383600000
2005-01-10 15:00:00-05:00,2005-01-10,15:00,0.1844,0.1847,0.183,0.184,109447920.0,0.1839,2988,1105387200000
2005-01-11 10:00:00-05:00,2005-01-11,10:00,0.1776,0.1799,0.1771,0.1788,143287440.0,0.1784,3260,1105455600000
2005-01-11 11:00:00-05:00,2005-01-11,11:00,0.1788,0.1832,0.1783,0.1789,65574840.0,0.1789,1586,1105459200000
2005-01-11 12:00:00-05:00,2005-01-11,12:00,0.1789,0.1792,0.1763,0.1763,105904800.0,0.1774,2202,1105462800000
2005-01-11 13:00:00-05:00,2005-01-11,13:00,0.1763,0.1769,0.1756,0.1763,196503720.0,0.1763,2855,1105466400000
2005-01-11 14:00:00-05:00,2005-01-11,14:00,0.1764,0.1792,0.1762,0.1778,137424480.0,0.1781,2420,1105470000000
2005-01-11 15:00:00-05:00,2005-01-11,15:00,0.1779,0.1785,0.1771,0.178,183299760.0,0.178,3784,1105473600000
2005-01-12 10:00:00-05:00,2005-01-12,10:00,0.1731,0.1755,0.173,0.1732,184586880.0,0.1741,4163,1105542000000
2005-01-12 11:00:00-05:00,2005-01-12,11:00,0.1732,0.1761,0.173,0.175,199956960.0,0.1748,3424,1105545600000
2005-01-12 12:00:00-05:00,2005-01-12,12:00,0.1749,0.1765,0.1742,0.1762,81182400.0,0.1756,1707,1105549200000
2005-01-12 13:00:00-05:00,2005-01-12,13:00,0.1763,0.1775,0.1753,0.1756,99737040.0,0.1766,2091,1105552800000
2005-01-12 14:00:00-05:00,2005-01-12,14:00,0.1756,0.176,0.1747,0.1751,118714680.0,0.1754,2241,1105556400000
2005-01-12 15:00:00-05:00,2005-01-12,15:00,0.175,0.1774,0.175,0.177,153027120.0,0.1762,3685,1105560000000
2005-01-13 10:00:00-05:00,2005-01-13,10:00,0.1751,0.1793,0.175,0.1784,126993240.0,0.1778,2655,1105628400000
2005-01-13 11:00:00-05:00,2005-01-13,11:00,0.1785,0.1799,0.177,0.1788,106382760.0,0.1785,2158,1105632000000
2005-01-13 12:00:00-05:00,2005-01-13,12:00,0.1787,0.18,0.1782,0.1799,44988720.0,0.179,1044,1105635600000
2005-01-13 13:00:00-05:00,2005-01-13,13:00,0.1799,0.1823,0.1799,0.182,105506760.0,0.1808,2072,1105639200000
2005-01-13 14:00:00-05:00,2005-01-13,14:00,0.182,0.1834,0.1812,0.1813,133731960.0,0.1824,2837,1105642800000
2005-01-13 15:00:00-05:00,2005-01-13,15:00,0.1812,0.1826,0.1774,0.1788,237783480.0,0.1797,5442,1105646400000
2005-01-14 10:00:00-05:00,2005-01-14,10:00,0.1801,0.181,0.1779,0.1797,157876680.0,0.1797,2925,1105714800000
2005-01-14 11:00:00-05:00,2005-01-14,11:00,0.1797,0.18,0.1779,0.178,49279440.0,0.1787,1262,1105718400000
2005-01-14 12:00:00-05:00,2005-01-14,12:00,0.178,0.1792,0.1779,0.178,50618040.0,0.1786,1261,1105722000000
2005-01-14 13:00:00-05:00,2005-01-14,13:00,0.178,0.1825,0.1775,0.1784,42656880.0,0.1784,987,1105725600000
2005-01-14 14:00:00-05:00,2005-01-14,14:00,0.1784,0.1819,0.1776,0.1792,108931320.0,0.1792,2889,1105729200000
2005-01-14 15:00:00-05:00,2005-01-14,15:00,0.1792,0.1799,0.1789,0.1791,72457200.0,0.1793,2008,1105732800000
2005-01-18 10:00:00-05:00,2005-01-18,10:00,0.1791,0.1815,0.1785,0.1805,54774120.0,0.1802,1661,1106060400000
2005-01-18 11:00:00-05:00,2005-01-18,11:00,0.1805,0.182,0.1805,0.1815,64321200.0,0.181,1195,1106064000000
2005-01-18 12:00:00-05:00,2005-01-18,12:00,0.1815,0.1825,0.1811,0.1811,42338400.0,0.1818,903,1106067600000
2005-01-18 13:00:00-05:00,2005-01-18,13:00,0.1811,0.1813,0.18,0.1802,68124240.0,0.1807,1279,1106071200000
2005-01-18 14:00:00-05:00,2005-01-18,14:00,0.1802,0.1821,0.1802,0.1817,80213880.0,0.1813,1448,1106074800000
2005-01-18 15:00:00-05:00,2005-01-18,15:00,0.1818,0.1825,0.1813,0.1819,103992840.0,0.182,2159,1106078400000
2005-01-19 10:00:00-05:00,2005-01-19,10:00,0.1818,0.1828,0.1814,0.1814,47125560.0,0.182,1253,1106146800000
2005-01-19 11:00:00-05:00,2005-01-19,11:00,0.1814,0.1815,0.1795,0.1799,46992960.0,0.1804,1233,1106150400000
2005-01-19 12:00:00-05:00,2005-01-19,12:00,0.1799,0.1805,0.1795,0.1802,25608720.0,0.1799,869,1106154000000
2005-01-19 13:00:00-05:00,2005-01-19,13:00,0.1802,0.181,0.1799,0.1804,23050680.0,0.1804,581,1106157600000
2005-01-19 14:00:00-05:00,2005-01-19,14:00,0.1803,0.1813,0.18,0.1804,24859920.0,0.1806,753,1106161200000
