datetime,date,time,open,high,low,close,volume,vwap,transactions,timestamp
2005-01-03 10:00:00-05:00,2005-01-03,10:00,16.725,16.76,16.39,16.49,14247600.0,16.5287,34480,1104764400000
2005-01-03 11:00:00-05:00,2005-01-03,11:00,16.495,16.55,16.425,16.48,11079000.0,16.493,21129,1104768000000
2005-01-03 12:00:00-05:00,2005-01-03,12:00,16.475,16.725,16.4,16.5,8142400.0,16.4883,9593,1104771600000
2005-01-03 13:00:00-05:00,2005-01-03,13:00,16.495,16.515,16.44,16.46,4806200.0,16.4789,12263,1104775200000
2005-01-03 14:00:00-05:00,2005-01-03,14:00,16.455,16.515,16.425,16.445,5643800.0,16.4702,14204,1104778800000
2005-01-03 15:00:00-05:00,2005-01-03,15:00,16.445,16.47,16.34,16.35,6520800.0,16.3992,18201,1104782400000
2005-01-04 10:00:00-05:00,2005-01-04,10:00,16.235,16.375,16.065,16.095,21070400.0,16.2016,45916,1104850800000
2005-01-04 11:00:00-05:00,2005-01-04,11:00,16.075,16.35,16.02,16.075,10866600.0,16.0926,26005,1104854400000
2005-01-04 12:00:00-05:00,2005-01-04,12:00,16.07,16.08,15.91,15.96,10181800.0,15.9727,21427,1104858000000
2005-01-04 13:00:00-05:00,2005-01-04,13:00,15.955,16.145,15.895,15.905,6963400.0,15.932,15026,1104861600000
2005-01-04 14:00:00-05:00,2005-01-04,14:00,15.905,15.91,15.685,15.83,13556000.0,15.7964,20894,1104865200000
2005-01-04 15:00:00-05:00,2005-01-04,15:00,15.83,16.05,15.715,15.91,12329200.0,15.8941,16270,1104868800000
2005-01-05 10:00:00-05:00,2005-01-05,10:00,15.86,15.995,15.75,15.775,14723200.0,15.8609,24323,1104937200000
2005-01-05 11:00:00-05:00,2005-01-05,11:00,15.775,15.875,15.7,15.75,9805000.0,15.7671,18412,1104940800000
2005-01-05 12:00:00-05:00,2005-01-05,12:00,15.75,15.76,15.61,15.705,7925600.0,15.6806,19996,1104944400000
2005-01-05 13:00:00-05:00,2005-01-05,13:00,15.7,15.88,15.685,15.785,13693600.0,15.8137,19590,1104948000000
2005-01-05 14:00:00-05:00,2005-01-05,14:00,15.78,15.845,15.725,15.725,6946200.0,15.781,14292,1104951600000
2005-01-05 15:00:00-05:00,2005-01-05,15:00,15.72,15.805,15.67,15.68,7384800.0,15.7225,17686,1104955200000
2005-01-06 10:00:00-05:00,2005-01-06,10:00,15.785,15.815,15.58,15.625,10561600.0,15.722,28471,1105023600000
2005-01-06 11:00:00-05:00,2005-01-06,11:00,15.625,15.795,15.62,15.73,8165200.0,15.718,18907,1105027200000
2005-01-06 12:00:00-05:00,2005-01-06,12:00,15.73,15.74,15.675,15.68,5374400.0,15.7091,15932,1105030800000
2005-01-06 13:00:00-05:00,2005-01-06,13:00,15.68,15.805,15.635,15.78,10037400.0,15.7249,27371,1105034400000
2005-01-06 14:00:00-05:00,2005-01-06,14:00,15.78,15.79,15.65,15.66,5935400.0,15.7337,19846,1105038000000
2005-01-06 15:00:00-05:00,2005-01-06,15:00,15.655,15.69,15.6,15.6,10694400.0,15.6431,29796,1105041600000
2005-01-07 10:00:00-05:00,2005-01-07,10:00,15.65,15.73,15.56,15.655,16918400.0,15.6459,44373,1105110000000
2005-01-07 11:00:00-05:00,2005-01-07,11:00,15.655,15.91,15.635,15.86,21506200.0,15.8026,49660,1105113600000
