datetime,date,time,open,high,low,close,volume,vwap,transactions,timestamp
2012-06-29 10:00:00-04:00,2012-06-29,10:00,0.936,0.95,0.936,0.9476,3772700.0,0.9443,204,1340978400000
2012-06-29 11:00:00-04:00,2012-06-29,11:00,0.9482,0.9544,0.948,0.952,1432800.0,0.9509,142,1340982000000
2012-06-29 12:00:00-04:00,2012-06-29,12:00,0.9528,0.955,0.9514,0.955,1185050.0,0.9528,107,1340985600000
2012-06-29 13:00:00-04:00,2012-06-29,13:00,0.9552,0.9566,0.9544,0.9558,1357500.0,0.9558,78,1340989200000
2012-06-29 14:00:00-04:00,2012-06-29,14:00,0.9558,0.963,0.9556,0.963,1863150.0,0.9585,142,1340992800000
2012-06-29 15:00:00-04:00,2012-06-29,15:00,0.9598,0.9662,0.9558,0.9662,2873950.0,0.961,245,1340996400000
2012-07-02 10:00:00-04:00,2012-07-02,10:00,0.9656,0.975,0.961,0.9698,2168750.0,0.9677,110,1341237600000
2012-07-02 11:00:00-04:00,2012-07-02,11:00,0.9694,0.971,0.9636,0.9686,1959050.0,0.9656,137,1341241200000
2012-07-02 12:00:00-04:00,2012-07-02,12:00,0.9668,0.974,0.9644,0.9728,1171000.0,0.9696,139,1341244800000
2012-07-02 13:00:00-04:00,2012-07-02,13:00,0.9722,0.9752,0.9708,0.9714,651650.0,0.9732,56,1341248400000
2012-07-02 14:00:00-04:00,2012-07-02,14:00,0.9708,0.977,0.9686,0.9738,1593800.0,0.9727,122,1341252000000
2012-07-02 15:00:00-04:00,2012-07-02,15:00,0.9732,0.9802,0.97,0.9802,1989000.0,0.9758,210,1341255600000
2012-07-03 10:00:00-04:00,2012-07-03,10:00,0.9872,0.9952,0.9872,0.9922,832350.0,0.991,62,1341324000000
2012-07-03 11:00:00-04:00,2012-07-03,11:00,0.9922,1.0002,0.9922,0.9972,1846900.0,0.9976,176,1341327600000
2012-07-03 12:00:00-04:00,2012-07-03,12:00,0.9966,1.002,0.993,1.002,2248100.0,0.9974,219,1341331200000
2012-07-03 13:00:00-04:00,2012-07-03,13:00,1.0018,1.0018,1.0018,1.0018,25000.0,1.0018,3,1341334800000
2012-07-05 10:00:00-04:00,2012-07-05,10:00,0.9942,1.0036,0.9852,1.0036,1446250.0,0.9921,116,1341496800000
2012-07-05 11:00:00-04:00,2012-07-05,11:00,1.0042,1.011,1.004,1.008,809900.0,1.0069,92,1341500400000
2012-07-05 12:00:00-04:00,2012-07-05,12:00,1.0072,1.011,1.0064,1.007,372500.0,1.0084,40,1341504000000
2012-07-05 13:00:00-04:00,2012-07-05,13:00,1.0096,1.0192,1.0084,1.019,1194750.0,1.0157,79,1341507600000
2012-07-05 14:00:00-04:00,2012-07-05,14:00,1.0182,1.02,1.011,1.011,988500.0,1.0166,86,1341511200000
2012-07-05 15:00:00-04:00,2012-07-05,15:00,1.01,1.0138,1.0044,1.0044,1697150.0,1.0093,169,1341514800000
2012-07-06 10:00:00-04:00,2012-07-06,10:00,0.9642,0.9642,0.952,0.9534,3142950.0,0.9584,227,1341583200000
2012-07-06 11:00:00-04:00,2012-07-06,11:00,0.9532,0.955,0.9458,0.9476,2942150.0,0.9496,203,1341586800000
2012-07-06 12:00:00-04:00,2012-07-06,12:00,0.947,0.95,0.9414,0.95,1622150.0,0.9448,152,1341590400000
2012-07-06 13:00:00-04:00,2012-07-06,13:00,0.951,0.951,0.945,0.9456,478000.0,0.9471,45,1341594000000
2012-07-06 14:00:00-04:00,2012-07-06,14:00,0.9458,0.9488,0.9404,0.9488,977950.0,0.9443,98,1341597600000
2012-07-06 15:00:00-04:00,2012-07-06,15:00,0.9474,0.9618,0.9472,0.9586,2998050.0,0.9584,262,1341601200000
2012-07-09 10:00:00-04:00,2012-07-09,10:00,0.9412,0.9502,0.9376,0.9502,1544950.0,0.9443,244,1341842400000
2012-07-09 11:00:00-04:00,2012-07-09,11:00,0.9502,0.9502,0.9398,0.9402,1322300.0,0.9441,204,1341846000000
2012-07-09 12:00:00-04:00,2012-07-09,12:00,0.938,0.944,0.9378,0.9438,531000.0,0.9412,69,1341849600000
2012-07-09 13:00:00-04:00,2012-07-09,13:00,0.9448,0.9532,0.9448,0.953,560000.0,0.9471,33,1341853200000
2012-07-09 14:00:00-04:00,2012-07-09,14:00,0.952,0.9528,0.9414,0.9452,595400.0,0.9462,69,1341856800000
2012-07-09 15:00:00-04:00,2012-07-09,15:00,0.9448,0.9544,0.9448,0.952,2441900.0,0.9516,270,1341860400000
2012-07-10 10:00:00-04:00,2012-07-10,10:00,0.9666,0.969,0.943,0.9432,2091250.0,0.9529,210,1341928800000
2012-07-10 11:00:00-04:00,2012-07-10,11:00,0.942,0.9438,0.9326,0.9428,1711350.0,0.9393,146,1341932400000
2012-07-10 12:00:00-04:00,2012-07-10,12:00,0.943,0.944,0.9382,0.9426,378950.0,0.9423,41,1341936000000
2012-07-10 13:00:00-04:00,2012-07-10,13:00,0.942,0.944,0.9342,0.9354,1277100.0,0.9376,119,1341939600000
2012-07-10 14:00:00-04:00,2012-07-10,14:00,0.9348,0.9354,0.9178,0.9196,1623650.0,0.9254,160,1341943200000
2012-07-10 15:00:00-04:00,2012-07-10,15:00,0.9234,0.9266,0.9126,0.9236,2502950.0,0.921,255,1341946800000
2012-07-11 10:00:00-04:00,2012-07-11,10:00,0.9168,0.9266,0.908,0.9094,2181300.0,0.9172,170,1342015200000
2012-07-11 11:00:00-04:00,2012-07-11,11:00,0.9082,0.9144,0.9082,0.9126,885000.0,0.9126,79,1342018800000
2012-07-11 12:00:00-04:00,2012-07-11,12:00,0.916,0.916,0.9094,0.9134,560000.0,0.9124,40,1342022400000
2012-07-11 13:00:00-04:00,2012-07-11,13:00,0.9122,0.9132,0.9046,0.9112,2212450.0,0.9079,165,1342026000000
2012-07-11 14:00:00-04:00,2012-07-11,14:00,0.9098,0.911,0.887,0.893,3817250.0,0.8966,330,1342029600000
2012-07-11 15:00:00-04:00,2012-07-11,15:00,0.8922,0.9148,0.8922,0.909,3495850.0,0.9066,321,1342033200000
2012-07-12 10:00:00-04:00,2012-07-12,10:00,0.8712,0.873,0.8596,0.8678,2223250.0,0.8658,226,1342101600000
2012-07-12 11:00:00-04:00,2012-07-12,11:00,0.8678,0.88,0.8678,0.8794,1438600.0,0.8733,100,1342105200000
