datetime,date,time,open,high,low,close,volume,vwap,transactions,timestamp
2009-06-25 10:00:00-04:00,2009-06-25,10:00,1.1606,1.1606,1.1538,1.1538,223200.0,1.1583,11,1245938400000
2009-06-25 11:00:00-04:00,2009-06-25,11:00,1.1525,1.1788,1.1525,1.1788,93600.0,1.1637,5,1245942000000
2009-06-25 12:00:00-04:00,2009-06-25,12:00,1.1989,1.2014,1.1904,1.1904,201600.0,1.1954,28,1245945600000
2009-06-25 13:00:00-04:00,2009-06-25,13:00,1.1908,1.2104,1.1908,1.2011,293040.0,1.2034,37,1245949200000
2009-06-25 14:00:00-04:00,2009-06-25,14:00,1.2036,1.2039,1.1893,1.1983,424800.0,1.1934,43,1245952800000
2009-06-25 15:00:00-04:00,2009-06-25,15:00,1.192,1.2056,1.1825,1.2056,1065600.0,1.196,86,1245956400000
2009-06-26 10:00:00-04:00,2009-06-26,10:00,1.1833,1.1988,1.182,1.1865,2140344.0,1.1897,164,1246024800000
2009-06-26 11:00:00-04:00,2009-06-26,11:00,1.1828,1.1892,1.1774,1.1879,1075320.0,1.1845,92,1246028400000
2009-06-26 12:00:00-04:00,2009-06-26,12:00,1.1899,1.1992,1.1868,1.1964,784800.0,1.1934,65,1246032000000
2009-06-26 13:00:00-04:00,2009-06-26,13:00,1.1971,1.1971,1.1888,1.1928,1430352.0,1.192,109,1246035600000
2009-06-26 14:00:00-04:00,2009-06-26,14:00,1.1875,1.2017,1.1868,1.2017,1653696.0,1.1926,132,1246039200000
2009-06-26 15:00:00-04:00,2009-06-26,15:00,1.2015,1.2131,1.197,1.1993,2996712.0,1.2047,209,1246042800000
2009-06-29 10:00:00-04:00,2009-06-29,10:00,1.1943,1.234,1.1943,1.2271,2142936.0,1.216,211,1246284000000
2009-06-29 11:00:00-04:00,2009-06-29,11:00,1.2292,1.2315,1.2271,1.2313,561888.0,1.2291,46,1246287600000
2009-06-29 12:00:00-04:00,2009-06-29,12:00,1.2314,1.2358,1.2295,1.2295,79200.0,1.2331,10,1246291200000
2009-06-29 13:00:00-04:00,2009-06-29,13:00,1.231,1.2346,1.2292,1.2303,1530864.0,1.2314,60,1246294800000
2009-06-29 14:00:00-04:00,2009-06-29,14:00,1.2297,1.2297,1.2228,1.2267,270504.0,1.2256,22,1246298400000
2009-06-29 15:00:00-04:00,2009-06-29,15:00,1.2314,1.2361,1.2222,1.2333,2009808.0,1.2311,102,1246302000000
2009-06-30 10:00:00-04:00,2009-06-30,10:00,1.2403,1.2403,1.1875,1.1949,3313080.0,1.2079,288,1246370400000
2009-06-30 11:00:00-04:00,2009-06-30,11:00,1.1938,1.1963,1.1764,1.1854,3455280.0,1.1857,224,1246374000000
2009-06-30 12:00:00-04:00,2009-06-30,12:00,1.1835,1.1927,1.1811,1.1914,2825496.0,1.1893,186,1246377600000
2009-06-30 13:00:00-04:00,2009-06-30,13:00,1.1914,1.1914,1.182,1.1833,1024272.0,1.1874,76,1246381200000
2009-06-30 14:00:00-04:00,2009-06-30,14:00,1.1827,1.1972,1.1806,1.1936,2460456.0,1.1928,192,1246384800000
2009-06-30 15:00:00-04:00,2009-06-30,15:00,1.1949,1.2078,1.1881,1.2039,2966184.0,1.2004,146,1246388400000
2009-07-01 10:00:00-04:00,2009-07-01,10:00,1.2385,1.2529,1.2221,1.2465,2827800.0,1.236,188,1246456800000
2009-07-01 11:00:00-04:00,2009-07-01,11:00,1.2445,1.2458,1.2368,1.2413,760896.0,1.2429,53,1246460400000
2009-07-01 12:00:00-04:00,2009-07-01,12:00,1.2413,1.245,1.2354,1.2354,716616.0,1.2399,61,1246464000000
2009-07-01 13:00:00-04:00,2009-07-01,13:00,1.2383,1.2385,1.2364,1.2385,144864.0,1.2377,7,1246467600000
